peso,altura,sexo,edad,tabaco,ubes,carneRoja,verduras,deporte,drogas,dietaEsp,nivEstPad,nivEstudios,nivIngresos
51.41,1.69,M,38,50,0,0,0,5,0,N,1,2,1
53.25,1.72,M,53,90,0,4,5,4,0,N,2,4,3
69.42,1.65,V,30,0,0,0,0,3,0,N,2,4,4
52.63,1.71,V,52,50,18,3,2,4,0,N,1,2,3
45.51,1.59,M,40,20,0,4,0,7,0,N,3,4,3
51.41,1.69,V,42,180,10,0,5,0,0,N,1,1,0
65.88,1.65,M,26,0,4,0,15,11,0,N,1,2,2
79.4,1.69,M,42,0,0,3,17,5,0,N,1,1,1
55.12,1.75,M,41,130,0,5,0,3,0,N,1,3,2
68.17,1.61,M,19,0,0,0,4,5,0,N,1,4,4
71.3,1.72,V,54,0,0,0,0,0,0,N,2,3,2
52.02,1.7,M,46,130,0,3,22,14,0,N,1,3,4
53.25,1.72,V,53,20,13,0,1,0,0,N,1,2,1
72.79,1.67,V,53,0,0,4,1,6,0,N,1,2,2
50.43,1.58,M,30,0,0,6,0,5,6,N,2,3,2
54.38,1.67,M,50,10,4,5,6,6,0,N,0,1,0
45.51,1.59,M,39,30,22,2,3,0,0,N,1,3,3
52.27,1.65,V,35,0,14,8,9,2,0,N,3,4,3
64.54,1.77,V,20,0,11,2,0,0,0,N,1,2,3
46.66,1.61,M,50,20,0,6,0,1,0,N,2,2,2
58.32,1.8,V,27,90,5,2,7,8,1,N,3,4,4
56.39,1.77,V,34,70,0,0,8,7,0,N,1,3,3
73.19,1.75,V,41,0,0,0,0,6,1,S,2,3,3
57.67,1.79,V,84,20,0,1,16,8,0,N,2,4,4
74.52,1.73,M,43,0,0,0,0,0,0,N,1,2,2
57.67,1.79,V,45,60,10,1,15,3,0,N,1,3,2
56.39,1.77,V,44,80,0,0,0,0,0,N,1,2,2
79.14,1.79,V,25,0,0,3,0,1,1,N,1,3,2
56.27,1.73,V,33,0,12,3,14,3,0,N,0,2,2
71.54,1.64,M,18,0,0,1,0,1,0,N,2,2,1
69.72,1.66,M,47,0,0,1,0,0,0,N,2,3,3
87.59,1.75,V,35,0,0,7,0,0,0,N,1,2,3
46.66,1.61,M,48,10,0,0,6,0,0,N,0,0,0
50.8,1.68,M,51,30,0,1,10,8,0,N,0,3,3
74.83,1.69,M,18,0,0,0,20,12,0,N,2,3,0
89.79,1.73,V,56,0,0,2,14,10,0,N,0,0,0
75.43,1.7,M,48,0,0,0,15,11,0,N,2,2,1
52.02,1.7,V,18,20,13,0,0,0,0,N,3,3,4
77.45,1.7,M,29,0,0,0,16,8,0,N,0,1,2
47.24,1.62,M,60,30,5,2,21,3,1,N,3,4,3
62.97,1.74,V,18,0,10,0,10,3,0,N,1,2,2
64.3,1.62,M,34,0,0,0,0,0,0,N,0,1,1
58.31,1.79,M,56,0,11,0,17,6,2,N,2,3,3
57.67,1.79,V,45,70,0,1,8,0,5,N,2,4,4
66.4,1.62,M,36,0,0,0,13,7,0,N,1,3,1
78.41,1.73,V,49,0,1,0,8,7,0,N,0,1,0
53.87,1.73,V,53,10,18,2,8,6,0,N,1,3,2
57.67,1.79,V,53,50,0,9,3,0,3,N,1,3,4
64.54,1.81,V,40,0,0,0,0,0,3,N,2,2,3
54.97,1.71,V,50,0,9,1,33,8,2,N,1,2,3
49.6,1.66,M,45,0,30,3,3,0,0,N,1,2,3
46.08,1.6,M,51,0,7,0,12,4,4,N,1,2,1
48.41,1.64,M,38,20,0,5,0,0,2,N,2,1,1
81.44,1.74,V,42,0,0,2,13,11,0,S,1,2,1
84.56,1.76,V,19,0,0,1,6,0,0,N,0,1,1
65.73,1.59,M,18,0,0,0,14,9,0,N,1,1,0
66.91,1.76,M,66,0,2,0,0,0,0,S,3,4,4
80.83,1.69,M,36,0,0,6,4,3,0,N,0,0,1
52.02,1.7,V,25,120,0,0,0,5,5,N,0,0,2
93.41,1.82,V,41,0,0,0,2,0,0,N,1,0,0
71.36,1.75,V,43,0,0,0,6,4,0,N,1,4,4
53.25,1.72,M,58,60,4,0,16,0,0,N,0,2,3
62.12,1.57,M,43,0,8,0,22,19,0,N,1,2,2
55.73,1.61,M,53,0,0,0,14,9,2,N,2,2,4
81.82,1.82,V,18,0,0,0,2,2,0,N,2,3,2
64.48,1.66,M,49,0,0,4,0,0,1,N,2,4,2
79.61,1.73,V,63,0,0,4,0,0,0,N,2,3,4
71.53,1.73,V,87,0,0,4,0,0,0,N,3,4,4
56.39,1.77,V,56,0,17,5,0,0,3,N,1,2,3
56.39,1.77,V,53,30,0,0,6,2,0,N,2,3,2
73.96,1.72,M,23,0,0,0,2,0,0,N,1,3,4
58.97,1.81,V,22,10,7,4,0,0,0,N,1,2,2
70.02,1.78,V,26,0,13,2,12,9,0,N,2,1,0
44.94,1.58,M,59,30,0,2,12,7,0,N,0,2,3
72.07,1.81,V,54,0,5,0,2,7,1,N,1,3,3
85.23,1.78,V,35,0,0,4,13,12,0,N,2,3,4
53.25,1.72,M,40,20,4,0,0,0,0,N,3,4,3
63.45,1.71,M,31,0,10,5,0,3,2,N,1,3,3
71.97,1.68,V,27,0,0,0,18,9,0,N,1,4,4
79.26,1.77,V,44,0,0,0,7,3,1,N,1,2,1
75.82,1.8,V,45,0,0,3,0,1,0,N,2,4,4
54.5,1.74,V,30,10,0,0,8,0,0,N,1,3,4
59.78,1.76,V,34,0,9,0,0,0,0,N,2,3,4
68.06,1.65,M,26,0,0,0,0,0,0,N,2,3,3
72.62,1.64,M,36,0,1,0,15,14,0,N,3,4,4
49.6,1.66,M,27,50,3,1,18,10,0,N,2,3,4
65.7,1.74,V,49,0,7,0,3,1,0,N,1,2,3
71.97,1.68,M,45,0,0,6,2,1,0,N,1,3,2
46.66,1.61,M,51,40,0,0,0,0,0,N,1,1,1
59.56,1.73,V,54,0,10,0,0,1,0,N,1,2,2
67.75,1.63,M,44,0,5,3,26,19,0,N,0,4,4
65.63,1.64,M,35,0,0,2,11,0,0,N,1,2,3
75.92,1.68,M,18,0,0,0,3,8,0,N,2,3,4
61.67,1.62,M,59,0,0,0,5,3,0,N,1,3,4
52.02,1.7,M,44,60,0,6,0,0,0,N,2,2,3
50.8,1.68,M,49,100,17,5,0,1,0,N,1,0,1
49.6,1.66,M,26,120,7,0,0,0,0,N,2,4,4
82.6,1.73,V,43,0,0,0,3,6,0,N,0,1,0
50.8,1.68,V,35,0,19,6,10,2,3,N,2,4,3
58.32,1.8,V,56,70,0,1,4,0,0,N,1,1,2
57.03,1.78,V,39,160,6,1,9,3,7,N,2,4,3
82.38,1.78,V,53,0,0,0,0,11,0,N,2,4,2
60.4,1.76,V,18,0,3,0,3,6,4,N,2,3,4
77.07,1.77,V,54,0,0,2,1,0,0,N,0,1,2
70.24,1.65,M,55,0,0,0,25,10,NA,N,1,1,1
71.01,1.64,V,44,0,0,0,15,9,0,N,1,2,1
56.42,1.62,M,42,0,5,0,0,0,0,N,2,1,0
69.3,1.71,V,43,0,0,2,15,7,0,N,3,4,2
63.23,1.63,M,18,0,0,1,0,0,0,S,3,4,4
44.37,1.57,M,38,80,6,2,9,0,0,N,3,3,2
50.2,1.67,V,35,0,3,0,3,0,7,N,0,1,2
73.66,1.68,M,28,0,0,1,3,0,0,N,0,2,1
57.67,1.79,V,43,30,6,3,2,0,0,N,2,2,2
48.41,1.64,M,55,60,0,0,0,0,0,N,0,3,4
47.82,1.63,M,43,0,14,3,9,1,0,N,1,1,2
60.28,1.83,V,63,80,5,0,5,0,0,N,2,1,1
50.2,1.67,M,37,70,0,1,15,11,0,N,0,0,0
54.5,1.74,V,55,30,8,6,0,6,0,N,1,3,4
79.38,1.8,V,26,0,0,0,4,0,0,N,1,2,1
52.63,1.71,V,48,100,4,0,0,0,0,N,1,1,1
51.41,1.69,V,20,40,0,1,0,3,0,N,1,3,1
59.65,1.57,M,51,0,0,1,0,3,1,N,1,3,2
51.41,1.69,M,40,70,7,1,14,4,4,N,1,3,3
59.62,1.82,V,39,130,7,1,0,8,2,N,1,3,3
82.24,1.72,V,40,0,0,4,0,6,0,N,2,2,2
53.25,1.72,V,34,50,0,1,31,11,0,N,2,4,4
89.48,1.71,M,31,0,1,6,0,10,0,N,1,0,0
53.87,1.73,M,35,90,0,5,0,0,9,N,1,2,1
57.03,1.78,V,32,70,0,0,18,11,2,N,2,2,3
75.89,1.76,V,18,0,7,4,0,5,0,N,1,0,1
53.87,1.73,V,23,120,0,0,0,5,0,N,0,1,1
45.76,1.59,M,45,10,0,2,6,3,0,N,1,3,4
82.09,1.76,V,51,0,0,0,0,6,0,N,2,1,1
68.93,1.72,M,63,0,0,5,0,1,0,N,3,4,4
82.4,1.76,V,45,0,2,2,9,6,0,N,1,1,1
52.63,1.71,M,44,50,0,2,14,3,0,N,2,2,2
72.73,1.79,V,30,0,0,1,0,0,0,N,3,3,3
52.02,1.7,M,27,120,0,0,10,8,0,N,2,3,3
74.25,1.77,V,33,0,0,2,0,0,0,N,2,4,4
74.5,1.64,M,22,0,0,0,0,0,0,N,0,0,0
55.12,1.75,V,55,290,5,4,0,5,3,N,2,4,4
58.97,1.81,V,23,30,0,0,8,0,5,N,2,3,3
78.3,1.81,V,40,0,1,0,15,9,0,N,3,4,4
61.38,1.57,M,40,0,0,1,0,8,0,N,3,4,4
56.39,1.77,V,55,40,0,0,5,2,0,N,0,2,3
53.25,1.72,V,18,40,11,2,0,4,0,N,0,0,0
53.25,1.72,V,68,140,0,2,0,0,0,N,2,3,3
68.32,1.64,M,18,0,0,2,11,7,2,N,1,1,2
76.56,1.75,V,47,0,4,2,20,10,0,S,1,1,0
92.77,1.84,V,34,0,0,0,31,18,0,N,1,3,2
71.09,1.66,M,42,0,0,0,8,6,0,N,0,0,1
59.95,1.74,V,63,0,5,0,16,4,0,N,1,4,4
78.01,1.77,M,48,0,0,1,13,5,0,N,2,1,1
61.35,1.73,M,45,10,0,3,0,2,0,N,1,2,2
52.63,1.71,V,27,20,0,2,5,4,0,N,1,0,2
65.58,1.66,M,18,0,0,1,11,0,0,N,1,2,1
47.82,1.63,M,49,50,0,0,0,4,0,N,0,1,1
74.52,1.73,M,41,0,0,0,2,5,0,N,0,3,4
79.94,1.81,V,24,0,7,2,3,2,0,N,0,0,0
87.45,1.78,V,40,0,0,2,3,4,0,N,1,0,1
53.25,1.72,V,41,90,0,9,7,0,0,N,2,2,1
42.69,1.54,M,26,120,0,0,0,0,0,N,2,4,2
92.09,1.83,V,32,0,1,2,12,15,0,N,2,3,4
88.78,1.81,V,18,0,0,1,8,4,0,N,2,2,2
71.96,1.7,M,32,0,0,2,0,0,0,N,2,1,2
74.77,1.78,V,39,0,0,4,0,0,0,N,2,3,4
74.53,1.62,V,18,0,0,7,6,4,0,N,2,4,4
58.06,1.73,V,50,0,13,0,0,0,0,N,2,1,0
54.56,1.66,M,53,0,4,5,0,0,4,N,0,0,0
57.67,1.79,V,28,180,5,2,13,4,0,N,1,1,1
68.61,1.77,V,48,0,10,0,25,14,0,N,1,1,0
73.12,1.7,M,36,0,0,0,12,2,0,S,2,4,4
62.83,1.69,V,18,0,7,0,24,10,NA,N,0,1,1
79.07,1.64,M,39,0,0,4,0,3,0,N,0,1,1
60.36,1.62,M,40,0,4,0,1,0,0,N,3,4,4
64.64,1.78,V,18,0,9,0,0,0,0,N,2,3,3
66.1,1.8,V,46,10,0,7,0,0,0,N,0,0,1
74.18,1.67,M,33,0,0,1,8,6,0,N,2,1,1
86.82,1.81,V,45,0,3,4,11,13,1,N,1,1,2
83.72,1.86,V,51,0,2,6,0,3,0,N,1,4,4
81.38,1.79,V,50,0,0,0,0,13,0,N,1,4,3
50.2,1.67,M,38,30,0,0,12,11,3,N,0,0,0
88.11,1.82,V,40,0,1,2,8,8,0,N,2,3,2
46.08,1.6,M,18,130,21,4,0,2,0,N,2,3,3
58.05,1.5,M,49,0,0,5,0,0,0,N,1,3,4
59.39,1.6,M,50,0,8,0,0,8,0,N,0,2,3
67.65,1.61,M,22,0,0,0,13,16,0,N,2,4,4
68.06,1.65,M,40,0,5,3,0,7,0,N,2,3,3
76.92,1.72,M,27,0,0,0,8,7,0,N,2,3,3
74.78,1.74,V,45,0,0,0,2,0,0,S,2,3,4
79.69,1.69,V,20,0,0,2,9,8,0,N,0,1,2
57.03,1.78,V,39,20,0,2,0,1,2,N,3,4,4
65.81,1.57,M,56,0,0,0,15,4,0,N,2,3,2
47.24,1.62,M,25,20,2,3,0,0,0,N,1,2,1
76.3,1.74,V,49,0,0,0,11,6,0,N,1,4,4
50.8,1.68,M,29,280,0,0,0,0,5,N,1,2,3
55.53,1.63,M,47,0,8,0,8,5,0,N,2,1,2
67.79,1.65,M,36,0,0,0,11,1,0,N,2,2,1
48.03,1.62,M,42,0,11,0,12,5,0,N,3,4,4
65.97,1.72,V,53,0,11,0,4,10,0,N,3,2,2
49,1.65,M,19,0,9,0,8,5,1,N,3,4,4
53.87,1.73,V,44,50,2,2,15,10,0,N,3,4,4
77.07,1.77,V,24,0,0,1,7,1,0,N,1,3,4
60.42,1.59,M,47,0,4,5,1,0,0,N,1,2,1
65.87,1.62,M,31,0,0,0,1,0,0,N,2,2,2
47.82,1.63,M,65,0,25,0,0,0,0,N,0,3,4
79.83,1.71,M,24,0,3,5,0,7,0,N,0,2,2
48.41,1.64,M,31,10,6,0,3,0,0,N,1,3,2
67.52,1.74,V,38,0,0,1,0,1,0,N,2,4,4
67.18,1.62,M,24,0,3,5,0,0,0,N,1,2,3
50.2,1.67,M,36,160,0,6,6,0,0,N,2,4,4
82.36,1.7,V,50,0,0,0,0,2,0,N,0,2,1
77.4,1.69,M,44,0,0,2,0,6,0,N,2,2,3
78.4,1.72,V,29,0,0,0,7,4,0,N,1,2,2
65.84,1.75,M,66,0,10,0,12,9,0,N,0,2,1
71.37,1.66,M,39,0,0,3,2,0,0,N,1,2,2
82.06,1.78,V,47,0,0,0,0,8,0,N,2,4,4
47.24,1.62,M,39,50,12,1,10,0,1,N,1,1,2
61.16,1.74,V,29,0,13,1,21,14,0,N,2,3,4
51.41,1.69,M,28,0,15,0,0,5,4,N,2,2,3
71.97,1.75,V,30,0,5,2,0,3,0,N,3,4,4
60.67,1.6,M,18,0,3,5,4,0,2,N,0,2,1
56.77,1.66,M,39,0,9,1,0,0,1,N,1,2,3
66.96,1.71,M,45,0,4,3,1,1,0,N,2,2,2
50.2,1.67,M,57,90,0,0,5,7,0,N,2,3,4
46.66,1.61,M,57,150,4,6,0,0,0,N,0,0,0
56.77,1.61,M,48,0,0,0,8,7,2,N,3,4,3
84.13,1.82,V,39,0,2,4,1,4,0,N,2,4,4
52.63,1.71,V,44,30,5,0,5,0,0,N,3,4,2
78.68,1.76,V,41,0,0,6,0,0,0,N,2,3,3
44.37,1.57,M,63,110,0,8,0,0,0,N,0,2,2
61.25,1.68,M,40,0,6,0,0,0,0,N,1,3,2
62.58,1.71,M,36,0,6,4,15,6,0,N,2,3,4
57.03,1.78,V,39,110,0,0,0,3,0,N,1,3,4
47.24,1.62,M,62,20,0,3,7,8,0,N,4,4,4
53.87,1.73,V,52,10,0,0,1,0,0,N,1,2,3
77.9,1.68,M,56,0,0,1,3,10,2,N,0,0,0
78.72,1.74,V,52,0,5,1,7,11,0,N,1,1,0
55.67,1.64,M,48,0,10,4,0,0,0,N,3,4,2
75.19,1.77,V,47,0,0,3,8,7,0,N,3,4,3
67.17,1.68,V,32,0,7,2,27,10,0,N,0,0,0
60.67,1.59,M,52,0,0,2,14,2,0,N,1,3,4
49.6,1.66,M,18,70,6,0,0,4,0,N,0,0,2
73.16,1.64,M,49,0,0,2,17,11,0,N,1,4,4
55.76,1.76,V,34,0,15,8,0,2,2,N,1,2,1
81.7,1.79,V,42,0,0,0,6,3,0,N,2,2,1
52.02,1.7,V,40,80,0,0,13,9,0,N,3,3,3
59.41,1.59,M,27,0,0,0,4,2,0,N,2,3,3
81,1.71,M,44,0,0,1,16,5,0,N,0,0,0
46.66,1.61,M,49,40,7,2,9,11,0,N,2,4,4
46.08,1.6,M,52,50,18,3,0,8,0,N,0,4,4
81.9,1.81,V,50,0,0,1,10,7,2,N,1,1,0
79.01,1.73,V,28,0,1,0,5,7,0,N,1,1,1
59.62,1.82,V,33,20,0,0,17,8,0,N,2,3,3
55.76,1.76,V,33,0,14,0,1,0,0,N,1,3,4
73.63,1.73,V,25,0,0,1,18,7,0,N,2,4,4
50.8,1.68,V,72,50,0,0,5,7,4,N,0,1,0
57.67,1.79,V,42,30,0,1,9,0,0,N,1,2,3
47.19,1.54,M,30,0,11,0,0,2,0,N,1,2,3
69.15,1.68,V,18,0,5,0,6,5,0,N,1,1,2
84.77,1.74,M,56,0,0,4,4,6,0,N,1,1,2
53.25,1.72,V,45,0,12,0,3,0,0,S,1,1,1
61.64,1.63,M,33,0,0,5,0,2,3,N,0,2,1
43.8,1.56,M,25,0,16,0,2,0,0,N,2,2,2
74.95,1.66,M,45,0,1,0,14,7,0,N,0,0,0
51.7,1.62,M,36,0,8,0,9,0,0,N,1,2,4
74.68,1.66,V,34,0,0,2,8,6,0,N,1,3,3
89.92,1.74,V,31,0,0,0,13,10,0,N,0,1,0
71.81,1.64,M,45,0,0,1,0,2,0,N,0,3,3
70.24,1.65,M,43,0,0,1,15,5,0,N,1,1,0
78.32,1.77,V,48,0,1,3,6,6,0,N,4,4,3
60.62,1.62,M,57,0,3,7,0,0,2,N,1,1,0
71.4,1.67,M,39,0,0,5,2,5,0,N,3,4,4
81.16,1.75,V,37,0,0,6,11,0,0,N,1,2,1
66,1.74,V,42,0,14,9,8,4,0,N,0,0,0
72.06,1.74,V,65,0,0,2,17,0,0,N,2,2,2
77.44,1.76,V,27,0,0,0,17,3,0,N,2,4,3
57.27,1.75,V,38,10,0,6,0,0,0,N,3,4,4
69.02,1.62,M,36,0,0,4,0,0,0,N,2,2,3
54.5,1.74,V,47,40,0,3,2,10,5,N,3,3,4
86.83,1.8,V,48,0,0,2,0,0,0,N,0,1,1
60.95,1.82,V,63,0,14,0,5,7,0,N,1,3,3
74.03,1.76,V,50,0,0,0,0,1,0,N,0,1,1
73.33,1.73,V,40,0,0,0,4,5,0,N,1,0,1
74.8,1.62,M,22,0,0,5,0,2,0,N,0,0,1
61.37,1.63,M,28,0,7,0,13,4,0,N,2,2,3
80.52,1.77,V,19,0,0,0,10,11,0,N,1,3,4
87.89,1.75,V,25,0,0,1,7,15,0,N,3,3,2
51.41,1.69,V,27,70,2,1,6,0,0,N,0,2,4
49.6,1.66,M,32,50,0,0,0,0,0,N,2,2,4
60.28,1.83,V,22,30,2,5,16,13,3,N,3,4,4
47.24,1.62,M,47,0,16,0,0,1,0,S,0,1,2
66.65,1.67,M,38,0,0,4,5,0,3,N,2,1,0
53.25,1.72,V,40,130,0,3,0,2,0,N,0,0,0
76.56,1.75,V,18,0,0,0,5,3,1,N,0,1,1
48.62,1.63,M,53,0,24,0,31,21,0,N,0,1,1
55.76,1.76,V,46,240,0,0,0,0,0,N,1,3,2
72.09,1.79,V,62,0,1,0,2,3,0,N,1,3,4
58.97,1.81,V,41,70,10,2,8,5,0,N,0,0,0
61.69,1.59,M,36,0,0,2,17,11,2,N,3,2,3
53.05,1.56,M,32,0,4,0,11,5,0,S,1,3,2
46.08,1.6,M,39,0,12,0,1,0,0,N,2,4,4
61.08,1.67,M,45,0,3,1,0,0,0,N,3,4,3
76.54,1.69,M,30,0,0,1,0,8,0,N,1,3,3
70,1.68,M,65,0,0,0,0,4,0,N,0,1,1
79.92,1.76,V,62,0,0,0,5,0,0,N,2,1,1
53.87,1.73,V,18,60,0,2,0,0,0,N,2,2,2
71.6,1.65,M,40,0,0,1,0,6,0,N,2,3,3
64.8,1.61,M,43,0,0,1,0,5,0,N,1,2,4
66.44,1.56,M,21,0,0,0,8,5,0,N,1,1,1
76.92,1.73,V,75,0,0,2,5,1,0,N,1,0,1
67.55,1.71,V,39,0,0,0,7,0,0,N,0,2,0
49,1.65,M,18,150,5,4,0,0,0,N,1,3,2
44.94,1.58,M,50,0,11,1,13,0,0,N,2,3,3
50.2,1.67,M,47,20,18,0,0,0,0,N,0,0,0
65.54,1.6,M,42,0,0,2,9,4,0,N,3,3,3
72.15,1.65,M,25,0,0,2,3,2,0,N,2,2,2
55.76,1.76,V,39,60,14,0,7,2,0,N,2,4,4
56.39,1.77,V,58,140,0,0,1,14,0,N,0,2,1
64.05,1.73,M,30,0,4,0,0,0,0,N,2,4,2
55.76,1.76,V,26,190,13,0,0,0,0,N,0,1,2
51.53,1.66,M,18,0,9,1,0,0,0,N,2,4,4
55.76,1.76,V,36,130,0,0,0,8,0,N,0,1,2
54.5,1.74,V,43,90,0,6,0,8,0,N,1,2,2
